session_id,split,content_type,open_images_id,official_split,source_dataset,source_url,image_url,original_url,original_landing_url,license,author,author_profile_url,title,negative_classes,sha256
oi_train_c48876b87e49bf61,train,positive,c48876b87e49bf61,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/c48876b87e49bf61.jpg,https://farm2.staticflickr.com/3041/2575104617_b0b43bfd4c_o.jpg,https://www.flickr.com/photos/golf_pictures/2575104617,https://creativecommons.org/licenses/by/2.0/,Dan Perry,https://www.flickr.com/people/golf_pictures/,"The River Course at Keystone, Keystone, Colorado",,10c4151ecf6b0b7b196b77ae2b7b40f5399cb56392c2e123b32c35bbcfb1a399
oi_train_e0e2b43591a16209,train,positive,e0e2b43591a16209,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/e0e2b43591a16209.jpg,https://c2.staticflickr.com/4/3121/2575973462_bed71cc8fb_o.jpg,https://www.flickr.com/photos/golf_pictures/2575973462,https://creativecommons.org/licenses/by/2.0/,Dan Perry,https://www.flickr.com/people/golf_pictures/,"Riviera Country Club, Pacific Palisades, California",,043afbda4db7cfa3412fcac57a115eca8c5f2bfdfcf1d2d1a4e84d313ca2eb33
oi_train_63d289026e8ad522,train,positive,63d289026e8ad522,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/63d289026e8ad522.jpg,https://farm3.staticflickr.com/232/463505007_3531fcef32_o.jpg,https://www.flickr.com/photos/lenore-m/463505007,https://creativecommons.org/licenses/by/2.0/,Lenore Edman,https://www.flickr.com/people/lenore-m/,superball mosaic p4,,b78fdf9f83ba697286117b86a2399625d3c9b9063f9153acb7a00584673dfb23
oi_train_13e0578475a40fc0,test,positive,13e0578475a40fc0,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/13e0578475a40fc0.jpg,https://farm1.staticflickr.com/7428/9076322326_e480a124cb_o.jpg,https://www.flickr.com/photos/97095120@N06/9076322326,https://creativecommons.org/licenses/by/2.0/,Special Olympics Connaught,https://www.flickr.com/people/97095120@N06/,Pitch and Putt Regionals 2013,,805831d359a54506027e08a42b8a1d9e2c3837b5f9830e38fcb45d9f189f3ef8
oi_train_1e51d384ce549366,train,positive,1e51d384ce549366,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/1e51d384ce549366.jpg,https://farm7.staticflickr.com/5121/5727404151_a8f765ac56_o.jpg,https://www.flickr.com/photos/rdecom/5727404151,https://creativecommons.org/licenses/by/2.0/,U.S. Army RDECOM,https://www.flickr.com/people/rdecom/,APG golfers enjoy Armed Forces Day Outing,,1ca5a6ade62eaf66479e90d4964edf896e71d9dfae64ae89b8da89c7cc510896
oi_train_072e1151fddbd360,train,positive,072e1151fddbd360,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/072e1151fddbd360.jpg,https://farm1.staticflickr.com/3193/2575098261_1cf5aacea0_o.jpg,https://www.flickr.com/photos/golf_pictures/2575098261,https://creativecommons.org/licenses/by/2.0/,Dan Perry,https://www.flickr.com/people/golf_pictures/,"Jones Masterpiece, Treetops, Gaylord, Michigan",,c12caaf7d698e1224b7a5f006075c38f8e4dd0a14c07efde1779fc9b90208ae8
oi_train_1110da03cf1ee7f9,train,positive,1110da03cf1ee7f9,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/1110da03cf1ee7f9.jpg,https://c2.staticflickr.com/4/3226/5714035531_33650dce17_o.jpg,https://www.flickr.com/photos/john_hall_associates/5714035531,https://creativecommons.org/licenses/by/2.0/,Phil Sexton,https://www.flickr.com/people/john_hall_associates/,Scramble Putting,,b6092f7b0d50aad01e22df04b2dd670c5e522a53173b53c9eeb76398ba5af64e
oi_validation_05e82779bb9c7b6a,train,positive,05e82779bb9c7b6a,validation,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/validation/05e82779bb9c7b6a.jpg,https://c3.staticflickr.com/3/2705/4045933114_19ccdb6358_o.jpg,https://www.flickr.com/photos/lim_lik_wei/4045933114,https://creativecommons.org/licenses/by/2.0/,Brandon Lim,https://www.flickr.com/people/lim_lik_wei/,Untitled,,6f30487f9c7eed7c18ae40289b232e1480bdfe69419a155e8da860caa2714113
oi_train_e5e5715ad5a57fd2,train,positive,e5e5715ad5a57fd2,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/e5e5715ad5a57fd2.jpg,https://farm3.staticflickr.com/2205/2121913084_c6904487ef_o.jpg,https://www.flickr.com/photos/clemson/2121913084,https://creativecommons.org/licenses/by/2.0/,Clemson,https://www.flickr.com/people/clemson/,_MG_3893,,726fd74706e8b8560b6a9ebdd9e06721f43f5606b45aa0503a54ffe50dd4dc6c
oi_train_0ed714901222e7f3,val,positive,0ed714901222e7f3,train,Open Images Dataset V7,https://storage.googleapis.com/openimages/web/index.html,https://s3.amazonaws.com/open-images-dataset/train/0ed714901222e7f3.jpg,https://farm4.staticflickr.com/1403/5127043674_c121ff435c_o.jpg,https://www.flickr.com/photos/familymwr/5127043674/,https://creativecommons.org/licenses/by/2.0/,U.S. Army,https://www.flickr.com/people/familymwr/,Michael Quigg putts 10-29-10,,6bd285eba3ddfe50b9e51bda152309b5b041b7df4e309df3e9e19fd5e2ac7e3a
